year,countrycode,Shanon_index
2011,UG,3.990691099740503
1962,US,3.9293268574866209
2023,SE,3.9618081224952824
2015,SE,4.598979698570469
2016,SE,3.3162300086379446
2008,SE,4.2886184320887351
1989,SE,3.9896467056165035
2014,DK,3.8131990906865592
2016,DK,3.8334201391669822
1994,DK,3.9728936411479525
1974,DK,3.181537123028054
2022,DK,3.56175781441867
1999,DK,4.0536338505732843
1986,DK,3.2614143690532629
1967,DK,2.8454539440794053
2002,DK,3.924553911484669
1984,CA,3.5916888756623271
1969,CA,2.2121521919029505
1996,CA,2.5793547427686465
1962,CA,2.8345546810920021
2005,CA,3.77859572471439
1976,CA,3.3156698032632534
1986,CA,3.5523506796371165
1975,CA,3.6067287492977931
1996,US,3.1398701385038015
1990,CA,3.6448344075456149
2004,RU,2.2969214685567318
1991,CA,3.6466472405220154
1993,MX,2.2779559835071304
1992,MX,2.6022028296401185
1959,MX,5.1889340645490094
1950,MX,6.7584979660470967
2003,GT,4.507086375846046
1996,NZ,3.4419037700515851
2011,BE,4.6332281869361429
1998,BE,3.9737734028034226
1997,BE,3.7487264334389758
1986,BE,4.1125978721174619
1999,BE,3.8243251786902768
1956,BI,3.6378742819234087
2003,LA,4.32489693431539
2009,PT,3.9319322107284753
2018,US,4.7259848126266331
2010,US,4.616631273999606
2017,PE,3.3917388696544615
2021,BR,5.471280715397679
2018,NZ,3.9246373547823259
2020,AE,3.4888051279282477
2012,TR,3.4958829483146174
2021,KR,3.5878259971911657
2021,GB,4.1066882036947918
2016,SV,3.7777625503447281
2022,IS,3.472184268065821
2022,NZ,3.7999361087599426
2016,IL,3.9550335479185814
2022,DE,0.41809045442099529
2017,BR,5.8966326163811935
1975,US,2.419077647089976
2013,MX,4.1050077625366361
2016,US,4.7178966536182649
1976,AU,4.5904312733433
2019,GH,3.8049308000809647
2021,MX,4.0374787045118836
2016,TZ,3.9965123244351708
1995,AU,4.7767747993023
2015,BZ,5.1298365382548168
1995,CA,3.0197131218841715
2020,CR,5.3426813308864212
2021,TH,4.7318918201028755
2021,AU,5.7046507170438385
2000,GB,3.476125208529703
2015,CU,4.2672067013894033
2019,PE,2.6784113708747879
2017,GY,5.0424320364601893
2017,BO,5.1033282711946439
2016,TW,4.53192927692892
2019,NA,2.7816258919043539
2019,CZ,3.4013433175911918
2010,BZ,4.6851164427003047
2021,IT,4.8347954718227424
2019,MM,5.0735137101253711
2015,DO,4.3354901677079773
2017,JP,4.0993317965451928
2017,KH,4.496490735204655
2003,US,3.5011088349238868
2018,PT,4.3963078031115428
2019,ET,4.6707485798033836
2016,NI,4.611349387773422
2015,HN,4.4364411522654077
2021,JP,3.6594682285066953
2020,CA,3.43515872669698
1991,GB,3.2324065592806681
2003,ES,3.2426479855611916
1998,LU,3.7310790725385057
2019,BR,5.3190461371857269
1997,IN,4.1605589009836637
2019,DE,4.4107916403248444
1990,GB,3.2968998138331438
2017,CH,3.9999811170551465
2015,TT,3.9047393640857271
2003,IT,3.6609716879607053
2016,DE,3.782945631195223
2000,PE,5.5367533352828566
2008,PH,3.8909428752312554
2021,BO,5.5448838606417326
2013,PA,4.2197608547300689
