"Country_Name","Country_Code","Time","GDP","Exports","Imports","CO2_GDP","CO2_percapita","Shannon_index","f_assinadas","Forest_area","Land_area","Mobile_cell","Population","Living Planet index","lpi_regions","v2x_polyarchy","v2x_libdem","v2x_partidem"
"Argentina","ARG",2000,284000000000.00000,10.98638,11.63607,0.33430,3.56792,3.9794,12,12.19649,2736690.00000,17.50152,37070774.00000,19.76,"Latin America and the Caribbean",0.840,0.662,0.581
"Argentina","ARG",2001,269000000000.00000,11.57901,10.27325,0.33119,3.34188,0.6617,12,12.08087,2736690.00000,17.98747,37480493.00000,18.56,"Latin America and the Caribbean",0.840,0.671,0.581
"Argentina","ARG",2002,97724004252.00000,28.38260,13.37013,0.34855,3.10049,3.9611,12,11.96526,2736690.00000,17.33334,37885028.00000,17.43,"Latin America and the Caribbean",0.832,0.659,0.573
"Argentina","ARG",2003,128000000000.00000,25.93094,14.71381,0.34804,3.33489,5.2257,12,11.84964,2736690.00000,20.48748,38278164.00000,16.21,"Latin America and the Caribbean",0.813,0.647,0.558
"Argentina","ARG",2004,165000000000.00000,23.84762,16.84503,0.35353,3.65608,2.8462,13,11.73403,2736690.00000,34.94389,38668796.00000,15.50,"Latin America and the Caribbean",0.808,0.648,0.555
"Argentina","ARG",2005,199000000000.00000,23.24588,17.30539,0.33539,3.73672,2.3568,15,11.61841,2736690.00000,56.70884,39070501.00000,15.31,"Latin America and the Caribbean",0.806,0.641,0.553
"Argentina","ARG",2006,233000000000.00000,23.02669,17.40679,0.32938,3.92426,4.5767,15,11.50280,2736690.00000,79.81992,39476851.00000,15.01,"Latin America and the Caribbean",0.796,0.632,0.543
"Argentina","ARG",2007,288000000000.00000,22.66275,18.28242,0.31758,4.08315,4.4002,18,11.38719,2736690.00000,101.31823,39876111.00000,14.55,"Latin America and the Caribbean",0.795,0.630,0.545
"Argentina","ARG",2008,362000000000.00000,22.06090,18.34177,0.31347,4.15238,4.5564,18,11.27157,2736690.00000,115.48155,40273769.00000,13.59,"Latin America and the Caribbean",0.790,0.619,0.539
"Argentina","ARG",2009,333000000000.00000,19.56099,14.49614,0.31194,3.84835,3.8646,18,11.15596,2736690.00000,128.99996,40684338.00000,11.95,"Latin America and the Caribbean",0.777,0.608,0.530
"Argentina","ARG",2010,424000000000.00000,18.93382,16.03719,0.30254,4.09984,2.9218,18,11.04034,2736690.00000,138.88595,40788453.00000,10.38,"Latin America and the Caribbean",0.776,0.610,0.524
"Argentina","ARG",2011,530000000000.00000,18.44921,16.75695,0.30148,4.28103,3.5144,18,10.95871,2736690.00000,146.24674,41261490.00000,8.81,"Latin America and the Caribbean",0.778,0.601,0.527
